Fri Oct 29 13:54:59 2021    profile_benchmarktai20x15.prof

         228008 function calls (214268 primitive calls) in 1.157 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    21600    0.004    0.000    0.004    0.000 {method 'values' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     4512    0.001    0.000    0.001    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
     4800    0.004    0.000    0.009    0.000 {built-in method builtins.any}
        1    0.000    0.000    1.157    1.157 {built-in method builtins.exec}
     2385    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     5102    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
     7921    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
30451/22051    0.007    0.000    0.010    0.000 {built-in method builtins.len}
      411    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      302    0.023    0.000    0.023    0.000 {built-in method builtins.print}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     3600    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      605    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
