Fri Oct 29 12:31:33 2021    profile_training.prof

         19327317 function calls (18268618 primitive calls) in 198.618 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2626    0.000    0.000    0.000    0.000 {method 'keys' of 'collections.OrderedDict' objects}
  1632852    0.285    0.000    0.285    0.000 {method 'values' of 'collections.OrderedDict' objects}
    15886    0.002    0.000    0.002    0.000 {method 'items' of 'collections.OrderedDict' objects}
      101    0.001    0.000    0.001    0.000 {method 'copy' of 'collections.OrderedDict' objects}
       16    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
       60    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
        6    0.000    0.000    0.001    0.000 {built-in method io.open}
        2    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
      124    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      226    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      202    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
   364056    0.081    0.000    0.081    0.000 {built-in method _operator.index}
        9    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       30    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      859    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
      859    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       23    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      229    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        9    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      181    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       60    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
      357    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      357    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        8    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       61    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       60    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       91    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
     12/7    0.000    0.000    0.006    0.001 {built-in method builtins.__import__}
      101    0.000    0.000    0.000    0.000 {built-in method builtins.all}
   384460    0.318    0.000    0.742    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     61/1    0.000    0.000  198.618  198.618 {built-in method builtins.exec}
   207721    0.078    0.000    0.079    0.000 {built-in method builtins.getattr}
   396582    0.203    0.000    0.203    0.000 {built-in method builtins.hasattr}
     4057    0.001    0.000    0.001    0.000 {built-in method builtins.id}
   658716    0.235    0.000    0.235    0.000 {built-in method builtins.isinstance}
      301    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      101    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
2418987/1785885    0.592    0.000    0.860    0.000 {built-in method builtins.len}
    26617    0.081    0.000    0.081    0.000 {built-in method builtins.max}
      681    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      100    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      354    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      100    0.008    0.000    0.008    0.000 {built-in method builtins.print}
    22672    0.017    0.000    0.017    0.000 {built-in method builtins.setattr}
    12578    0.026    0.000    0.026    0.000 {built-in method builtins.sorted}
      100    0.001    0.000    0.001    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
    18304    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
      662    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      182    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      938    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      480    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
    94562    0.015    0.000    0.015    0.000 {method 'startswith' of 'str' objects}
       65    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       14    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
     1098    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      261    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      156    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x559845cb0260}
       80    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       12    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'isdisjoint' of 'set' objects}
   277379    0.062    0.000    0.062    0.000 {method 'get' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     5384    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       83    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      180    0.000    0.000    0.000    0.000 {built-in method from_bytes}
   364788    0.083    0.000    0.083    0.000 {method 'append' of 'list' objects}
    35083    0.014    0.000    0.014    0.000 {method 'insert' of 'list' objects}
       38    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      228    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        9    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
